tradingsymbol,exchange_token
IBINFO,519463
INLCM,504746
INDOKEM,504092
INDPRUD,762717
INTLCOMBQ,505737
INVPRECQ,762722
ISTLTD,508807
JGTL,544112
JAYUSH,513252
JENBURPH,524731
COCKERILL,762623
JSLINDL,504080
JYOTIRES,514448
KAIRA,504840
KALYANI,19653
KAMAHOLD,762732
KARTKIN,501151
KAYCEEI,504084
KELENRG,506528
KEMP,506530
KESAR,543542
KHAZANCHI,543953
KLBRENG-B,762747
KPT,505299
KPL,762757
LAKSELEC,504258
LAKSHMIEW,505302
LAKSHMIMIL,502958
LERTHAI,502250
LORDSMARK,#N/A
LOTUSCHO,523475
MCCHRLS-B,762782
ROBU,543787
MAGNAELQ,517449
MIIL,538668
MERCURYLAB,538964
MIDWEST,526570
MKVENTURES,514238
MOBAVENUE,539682
NAPEROL,500298
NSDL,544467
NATIONSTD,762807
NEAGI,762812
NILE,762817
NIRAVCOM,512425
NIRLON,2433
NITINCAST,508875
NITTAGELA,762824
OMNITEX,514324
ONEGLOBAL,514330
ONIXSOLAR,513119
PML,762834
PERMAGN,504132
PHCAP,500143
GARGI,543709
POLSON,507645
POLYCHEM,506605
PSPLATINA,544295
PSTITANIA,544462
RAJABAH,503127
RAJPALAYAM,762859
RAJESH,544291
RIDDHI,524480
ROLCOEN,505807
RRPDEFENSE,#N/A
RRP,#N/A
SANCTRN,523116
SAPL,538992
ZSARACOM,762985
SHILINDORE,544080
SHPLPUNE,544090
SERIND,507984
SGRL,540737
SALSAIN,503635
SHRJAGP,512453
SIKA,762914
SIMPLXMIL,#N/A
SIMPLXPAP,533019
SINNAR,509887
SOBME,512014
STARDELTA,539255
STELLANT,526071
STOVACQ,504959
SUNITATOOL,544001
SUNSHIEL,530845
SUPER,512527
TAALTECH,762929
TALBROSENG,538987
TANFACIND,506854
TCIIND,532262
TECHNVISN,762939
THACKER,762944
RAVALSUGAR,507300
YSL,540980
TRADWIN,509953
TRANSPEK,3531
TRITONV,505978
TULIVE,505285
UPHOT,509960
UNIABEXAL,504605
VADILENT,519152
VALIANT,526775
VELJAN,762966
VICTMILL,503349
VIJSOLX,531069
VIRAT,530521
VIRYA,512479
VOITHPAPR,522122
WHBRADY,501391
ZWELCAST,504988
YASHHV,544310
ZFSTEERING,4229
